Date,Brent_Close,WTI_Close,Canada_Sentiment,China_Sentiment,Iraq_Sentiment,Russia_Sentiment,Saudi Arabia_Sentiment,UAE_Sentiment,USA_Sentiment,Brent_Pct_Change,WTI_Pct_Change
2020-01-03,68.5999984741211,63.04999923706055,-0.5452181255134195,0.3175539052707863,-4.327422676630524,-1.2152686850567265,-1.9083183882184027,-1.1859764123665668,-2.0225192291228917,0.03547167508107307,0.030565526684486866
2020-01-06,68.91000366210938,63.27000045776367,-0.3662376791092917,0.5102285576082347,-3.444645251352042,-0.9474035666708605,-0.9591187332635752,0.7092668835154604,-1.2919437362100974,0.004519026164486517,0.00348931361404059
2020-01-07,68.2699966430664,62.70000076293945,-0.3202226221573614,0.5054747212703898,-4.063223241340263,-1.2103425411344324,-0.750968648860483,-0.0325517991251743,-1.5517057294765315,-0.00928757778306255,-0.009009004120439812
2020-01-08,65.44000244140625,59.61000061035156,-1.1340726517990918,0.6223730065066291,-4.063657798447432,-1.6440033137869152,-1.051594655725154,-0.286838832469992,-1.9642522594097984,-0.04145297115592539,-0.04928229848466481
2020-01-09,65.37000274658203,59.560001373291016,-0.9338674541784932,0.469657276373316,-3.4327810540340256,-1.6686673967048633,-0.5034142570611615,0.7925086031937899,-1.4912226413274992,-0.0010696774482380489,-0.0008387726312464316
2020-01-10,64.9800033569336,59.040000915527344,-1.056316307128644,0.700001346841902,-3.6032116931403886,-1.7939179009279134,-0.6605183658294815,0.5847704143536931,-1.4619194183070197,-0.005966029880101642,-0.00873069922387304
2020-01-13,64.19999694824219,58.08000183105469,-0.3800089466836916,0.3205959347085217,-4.136042178146587,-1.3355852485551865,-0.3739285030609249,0.3279697173929105,-1.0349381349971685,-0.01200379144960717,-0.016260146842582146
2020-01-14,64.48999786376953,58.22999954223633,-0.5061127320749648,0.2390548826109543,-3.6806038168773023,-1.3294878157855108,-0.8475666041024364,0.632310941302766,-1.1701941869010828,0.004517148431660178,0.0025826051386492743
2020-01-15,64.0,57.810001373291016,-0.3267066483469298,0.3056859313434255,-2.8999625244995206,-1.0544937748763987,-0.0876815044441883,0.9456112989996666,-1.240120526719806,-0.007598044347971844,-0.0072127455306035815
2020-01-16,64.62000274658203,58.52000045776367,-0.49056458932924,0.3402163474276208,-2.856646436463562,-0.9779343824898812,-0.2958026320214073,0.6675133992274305,-1.0226806053485034,0.009687542915344238,0.012281596049237953
2020-01-17,64.8499984741211,58.540000915527344,-0.988547514386631,0.4436011639429874,-5.112572987670176,-1.1307358244194303,-0.3239452864787125,0.5491812016269763,-1.2271653420749276,0.003559203308007186,0.0003417713193305527
2020-01-21,64.58999633789062,58.34000015258789,-0.3178496754734514,-0.9394041265093612,-3.7563067771033554,-1.2950739585740976,0.0721826271420588,0.5841990372601646,-1.3617296958753673,-0.004009285155715525,-0.0034164803520938536
2020-01-22,63.209999084472656,56.7400016784668,-0.443594557153104,-0.8526378402646075,-2.544739438545496,-1.2652985541362376,-0.3983328615333627,0.6186256273984126,-1.5374224890416757,-0.021365495148796265,-0.02742541086623773
2020-01-23,62.040000915527344,55.59000015258789,-0.7574067843261398,-1.4488745926115827,-3.0926059810761006,-1.555375235300556,-1.1593637807356858,0.4507111016531744,-1.4784113223412525,-0.018509700773476467,-0.0202679149076469
2020-01-24,60.689998626708984,54.189998626708984,-0.8571815457309108,-1.9989694623130907,-3.640534581899873,-1.5409238112242165,-1.796589067658256,0.5822398828544236,-1.6591218102559406,-0.021760191310385424,-0.025184413060551747
2020-01-27,59.31999969482422,53.13999938964844,-1.1278808139196213,-2.3492180573767496,-4.4666743112302365,-1.6198645093162347,-0.453372386281398,0.3522087170684917,-1.1992384623710608,-0.02257371828777477,-0.01937625509632379
2020-01-28,59.5099983215332,53.47999954223633,-1.0285473120211386,-2.3855230120847155,-2.7820991022253634,-1.5960577201255224,-0.8866490257309478,1.1596257274533257,-1.4044775114588208,0.0032029438247882513,0.0063981963961805555
2020-01-29,59.810001373291016,53.33000183105469,-0.9927047068405572,-2.3628636379452312,-3.457246366288841,-1.6580946685793807,-0.3386157986139776,1.0039071037865726,-1.3359599615747977,0.005041220974951077,-0.002804744062557041
2020-01-30,58.290000915527344,52.13999938964844,-0.8411884750966921,-2.356784178522387,-2.4865730087368,-1.804880695038024,-0.3359846777631909,0.8324529096058266,-1.263159504001223,-0.025413817469705835,-0.022313939631505852
2020-01-31,58.15999984741211,51.560001373291016,-0.9840391736464592,-2.27871955243718,-3.185612891124212,-1.8927073822374687,-0.8922029713955411,1.1313237247298704,-1.346847606036777,-0.0022302464586272386,-0.011123859285517623
